name,lat,long
SDS Muhammadiyah 17,-6.115366610244296,106.87640673574644
SDI Miftahul Ulum,-6.116674550000001,106.87505869999998
SD Negeri Cilincing 08 Pagi,-6.109633028266763,106.93534298957844
SD Negeri Cilincing 02 Pagi,-6.109089140966669,106.93844725681295
SMA Negeri 114 Jakarta,-6.109756431885899,106.9355407568401
"SD, SMK Aisyiyah",-6.11919196868631,106.89553660000051
SMP Negeri 30 Jakarta Utara,-6.115464225509585,106.89394949074206
Singapore International School (SD - SMA),-6.1208295078396295,106.77198289328305
"SD Negeri Kebon Bawang 05,06,09",-6.126235786063963,106.88962441259687
SD Negeri Ancol 03-04,-6.135491673175845,106.81916319172322
SMP Negeri 113 Jakarta,-6.135207901238836,106.81890842372863
SMA Negeri 111 Penjaringan,-6.133733048574036,106.79636662685868
SMP Negeri 21 Penjaringan,-6.1338130342866,106.79598690678861
SD Negeri Sunter Agung 07-08,-6.14722645,106.85963620000001
TK- SD Kristen Ipeka Sunter I,-6.141880021546488,106.86473200358938
MTs Negeri 39 Jakarta,-6.15559245,106.86844599999999
SD Negeri Sunter Jaya 07-08,-6.160046500000001,106.87370419999999
SDIT Al-Islamiyah,-6.159009941816056,106.87373597175116
Saint Caroline School,-6.1570331352485885,106.87166360264041
SD Manba'ul Hikmah,-6.147474026498381,106.92490950406727
SD Negeri Sukapura 02 Pagi,-6.146014524536955,106.92164398171819
SD Negeri Cilincing 09,-6.107799732842684,106.93729163796226
"SMK Cilincing, SD Negeri 05 Pagi, SD Negeri 11 Petang Cilincing",-6.103981569282823,106.93010937899217
SD Negeri Cilincing 01 Pagi,-6.109147849160703,106.93643979803848
SMP Negeri 143 Jakarta,-6.109331718206921,106.93603292030451
MAK 5 Penabur,-6.148074851736379,106.90817631730022
PAUD-SD-SMP-PKBM Mekar Tanjung,-6.122035707770942,106.87750408039744
SMK Sismadi,-6.119276043999893,106.88118891987146
SMK Jaya Jakarta,-6.174123628338003,106.90573842629406
sd dan smp tunas karya,-6.170556971172489,106.90158628275982
Sekolah Tunas Karya 1,-6.171011120957744,106.90174065582951
Tunas Gading School,-6.170824499999999,106.9027678
TK & SD Al Azhar Kelapa Gading,-6.175022043401642,106.89866045611738
Raffles Christian School,-6.175806062519975,106.91343794512197
SD Negeri 2 Pegangsaan Dua,-6.17385805,106.91141640000001
SMK 11 Maret,-6.182079979509005,106.91554161358253
"SD, SMP, SMA DON BOSKO I",-6.165998309874573,106.91327748176514
SMP Negeri 170 Jakarta,-6.178205973900584,106.91349063211322
