name,lat,long
Transvision Jalan Tebet Raya,-6.2295649,106.8472981
Pancoran Barat 2,-6.2413139,106.8376306
Pancoran Arah Timur,-6.2415527,106.8380523
Pancoran Soepomo,-6.2417327,106.8443089
Taman Rosita,-6.2374773,106.8445161
Tegal Parang 2,-6.2387092,106.8308052
RS Medistra,-6.2403171,106.8339898
Pemadam Pos Tebet,-6.2399599,106.8454796
Tebet Barat Dalam,-6.2393394,106.8453622
Pasar Pedok,-6.2341976,106.8443219
Universitas Sahid 1,-6.2360041,106.8443318
Merpati,-6.2321864,106.844971
Kecamatan Tebet 1,-6.2320008,106.845368
Tebet Balai Sudirman,-6.2269789,106.8476257
Jalan Sawo III,-6.2164323,106.8441954
Jembatan Merah 1,-6.2211601,106.8462039
Soepomo,-6.224772,106.8475087
Balai Sudirman,-6.2270196,106.8473562
Keselamatan,-6.2229564,106.8474745
RS Budi Jaya,-6.2187621,106.8451881
Minangkabau,-6.2141412,106.8434803
Saharjo UGM,-6.2145221,106.8442727
Al Barkah,-6.2198516,106.8457725
Stasiun Cikini Selatan,-6.2009212,106.8428366
Pool 4B Halte SMK Karya Guna,-6.2109558,106.8512887
Surabaya,-6.2013119,106.841213
SMPN 8,-6.2011131,106.8428777
Halte Kenari Mas,-6.1914644,106.8480789
Stasiun Cikini Barat,-6.1996454,106.8418186
Gedung Wanita,-6.2008516,106.8362153
Museum Proklamasi,-6.200104,106.8311214
RSCM 2,-6.1965613,106.8485325
Taman Suropati,-6.2000021,106.8325389
Graha Mandiri,-6.1973965,106.8252692
Imam Bonjol,-6.1961042,106.8244646
Taman Menteng 1,-6.1956112,106.8302022
RS Carolus,-6.1959977,106.8505476
Halte Pertanian,-6.1930711,106.8489659
Halte SMKN,-6.1904924,106.8475969
KPU,-6.1994261,106.8273583
RSPAD 1,-6.1764256,106.8400816
M.H. Thamrin 2,-6.1881997,106.8228312
RSUD Tarakan,-6.1722891,106.8109399
Pecenongan 1,-6.167003,106.8258723
Lapangan Banteng 1,-6.1712029,106.8336908
Lapangan Banteng 3,-6.1705086,106.8331319
Kantor Pos Lapangan Banteng,-6.1688125,106.8349605
Karet Sudirman 1,-6.2130738,106.8199155
Sekolah Penabur Gunung Sahari,-6.1700671,106.8402276
Taman Wahidin,-6.1668189,106.8391212
Wahidin 2,-6.1691946,106.8397087
Pasar Baru Timur 1,-6.1620911,106.8379399
Hotel Borobudur 2,-6.1597313,106.83916
Ruko Bungur Besar,-6.161283,106.8397348
Kemayoran,-6.1627728,106.8403652
Seberang Jalan Gunung Sahari IX,-6.152788,106.8356452
Jamsostek Gatot Subroto,-6.2329039,106.8220345
Kartika Chandra,-6.2283032,106.8188764
Kuningan Timur 2,-6.2358851,106.8276677
Menara Mulia,-6.2255401,106.8169139
Otorita Asahan,-6.2239515,106.8159028
Seberang DPR MPR 1,-6.2080815,106.8041724
Perpustakaan Riset BPK,-6.2063276,106.8027202
JPO Blok G,-6.1888408,106.8113299
Blok F,-6.1885692,106.8122392
Pospol Jati Bunder,-6.1896471,106.8132332
Jalan Ciujung Cideng Barat,-6.1762972,106.8119633
Menara Karya,-6.2328435,106.8316619
SDN Gondangdia 01,-6.1944235,106.8287841
Goethe Institute,-6.1894359,106.8314819
Seberang Goethe Institute,-6.1893381,106.8313774
